dataset,protocol,trials,mean_gap,sd_gap,mean_internal_auc,mean_external_auc,mean_gap_pr,sd_gap_pr,mean_internal_pr_auc,mean_external_pr_auc,ci95_lo,ci95_hi
breast_cancer,anti_leakage,1,0.002657363731656164,0.00906657392245032,0.9950347222222223,0.9923773584905661,0.002681457481656078,0.008536338488856562,0.9967422564671367,0.9940607989854806,0.00021747030048914096,0.005206480389587682
breast_cancer,anti_leakage,5,0.0010213574423479943,0.009309855832054174,0.9942708333333333,0.9932494758909853,0.000918354580977705,0.009677060723501354,0.995659922879042,0.9947415682980645,-0.0015947774720475325,0.003594991483228494
breast_cancer,anti_leakage,10,0.0008749126484975411,0.00954828149377569,0.994074074074074,0.9931991614255766,0.0007744348629781794,0.009886519956653595,0.9954882353848896,0.9947138005219115,-0.0018007446715583623,0.003453563941299783
breast_cancer,anti_leakage,20,0.001088443396226404,0.009429982048275241,0.9942708333333333,0.993182389937107,0.0009651452124504578,0.009777894572670918,0.9956626750548522,0.9946975298424018,-0.001359103118448643,0.003667071759259254
breast_cancer,anti_leakage,40,0.001245588749126476,0.009597659238832337,0.9942476851851851,0.9930020964360586,0.0011026830584815617,0.009890548258076974,0.9956493409047256,0.994546657846244,-0.0013343826432564694,0.0038633101851851667
breast_cancer,leaky,1,0.002165487421383634,0.009107161227623187,0.9952430555555556,0.9930775681341718,0.0025391911687748727,0.009339379247587603,0.9968686355324587,0.9943294443636839,-0.00032650353773586014,0.00472430337176798
breast_cancer,leaky,5,0.0031625611460516967,0.008157219137790885,0.9964120370370371,0.9932494758909853,0.0027100676853501126,0.007114593120260494,0.9976310587795684,0.9949209910942182,0.0008457066736547675,0.005372415487421377
breast_cancer,leaky,10,0.0035560359888189954,0.008225724584801647,0.9965162037037036,0.9929601677148847,0.002978369092064956,0.007166790160455863,0.9976928467290576,0.9947144776369926,0.001250863687980421,0.00574120261180991
breast_cancer,leaky,20,0.0034190251572326956,0.007995459236370895,0.9965972222222222,0.9931781970649896,0.002587232267377988,0.006241724965666241,0.9977473696952096,0.9951601374278316,0.0012001135569531672,0.005554886224668051
breast_cancer,leaky,40,0.003891989867225709,0.00893630704274632,0.9966550925925926,0.9927631027253669,0.0032184870194784288,0.008056390417649262,0.9977817731129506,0.9945632860934721,0.001418782756813406,0.00639662823200559
diabetes_binary,anti_leakage,1,0.00813636363636364,0.07151870049331904,0.8290909090909091,0.8209545454545455,0.004830053675090886,0.06852037803641714,0.8284337427408414,0.8236036890657504,-0.011801830277565553,0.027435755665902742
diabetes_binary,anti_leakage,5,0.004994397759103646,0.07049229217862762,0.8295008912655972,0.8245064935064935,0.002936183810657842,0.07084132661680555,0.8282076193708241,0.8252714355601662,-0.015914893684746627,0.023541657117392405
diabetes_binary,anti_leakage,10,0.0053628724216959675,0.0704541880475366,0.8295187165775402,0.8241558441558442,0.0033613463623802307,0.07005519459084096,0.8282713906747791,0.8249100443123987,-0.014590504838298941,0.024444423223834978
diabetes_binary,anti_leakage,20,0.005490705373058322,0.07018750914293598,0.8297504456327985,0.8242597402597402,0.0032149939809452553,0.0695889705967318,0.8285744641116609,0.8253594701307156,-0.013888760504201689,0.02432747007894069
diabetes_binary,anti_leakage,40,0.005437484084542914,0.07038450455971171,0.8295543672014261,0.8241168831168831,0.0033274929462311052,0.06951731572822648,0.828740221492679,0.8254127285464479,-0.01415628023936847,0.024810965749936343
diabetes_binary,leaky,1,0.005603132161955693,0.07221134407233404,0.830427807486631,0.8248246753246754,0.0039021747823471055,0.07192206290012902,0.8297091496297684,0.8258069748474212,-0.014632913165266102,0.025529389483065972
diabetes_binary,leaky,5,0.01199083269671505,0.07038930686795898,0.8387700534759358,0.8267792207792207,0.011257384775486235,0.06867356136791605,0.8394882416004295,0.8282308568249432,-0.008803902470078923,0.030757499363381728
diabetes_binary,leaky,10,0.01321937866055514,0.06978439945309145,0.8398752228163993,0.8266558441558441,0.011693658511527033,0.06787623427094769,0.8407861536741725,0.8290924951626457,-0.006261510058568876,0.03182904570919281
diabetes_binary,leaky,20,0.013263432645785613,0.06965489065754105,0.8406595365418894,0.827396103896104,0.012066033344028157,0.06875577118481145,0.8414138389317238,0.8293478055876957,-0.005882387955182041,0.03164530175706651
diabetes_binary,leaky,40,0.014088617265087883,0.06974108198332821,0.8412834224598931,0.8271948051948051,0.013278388730266795,0.06809484351875153,0.8425492290763879,0.8292708403461211,-0.005694139928698717,0.032854335370511856
digits,anti_leakage,1,0.00291776564280249,0.01667035912719397,0.951032098765432,0.9481143331226296,0.003519531270927707,0.022926537605296636,0.947537288194206,0.9440177569232783,-0.0015963895858154091,0.0075062252802446045
digits,anti_leakage,5,0.0016434278422028093,0.015578921016025659,0.95199780521262,0.9503543773704172,0.0016850968995151816,0.022180722590955985,0.9481804468807183,0.9464953499812033,-0.002573219774416947,0.005672277102203441
digits,anti_leakage,10,0.0017624705188167855,0.01572276556499784,0.952248010973937,0.95048554045512,0.0020079958749941885,0.02206352140956672,0.9484972777712304,0.9464892818962362,-0.002575561946577512,0.005867364397937856
digits,anti_leakage,20,0.001709748690255082,0.01569591930868199,0.9523489711934157,0.9506392225031606,0.0016798139799120925,0.022250628602983817,0.9484422137707724,0.9467623997908605,-0.0026323927437703603,0.006019398870545537
digits,anti_leakage,40,0.00195222791035639,0.015572690562221148,0.9526364883401921,0.9506842604298356,0.00203679116611029,0.02193995197393929,0.9490071868400881,0.9469703956739778,-0.0024603054396901774,0.006063082286426166
digits,leaky,1,0.0020059080941455696,0.015736837638595954,0.9529086419753087,0.950902733881163,0.0007844691813811089,0.02216741305912403,0.9488131381339088,0.9480286689525276,-0.0024089360024209185,0.006275431861940504
digits,leaky,5,0.002932430168615028,0.014500565239066877,0.9553218106995885,0.9523893805309734,0.0024477602906572884,0.019556661861855,0.9525921649863888,0.9501444046957316,-0.0009826636075603674,0.006708960390512954
digits,leaky,10,0.0029729381163951783,0.014616243427533208,0.955758573388203,0.9527856352718078,0.0023185447126946456,0.01939538460915869,0.9529871273768332,0.9506685826641385,-0.0011425502860108558,0.006855655482134408
digits,leaky,20,0.0030437846512289223,0.014604422965196314,0.9558902606310014,0.9528464759797725,0.0024137200972469365,0.01964977136750648,0.9531103376728342,0.9506966175755872,-0.0009530069739256404,0.006981941081746977
digits,leaky,40,0.0031835062751565625,0.014565089238596642,0.9559561042524005,0.952772597977244,0.002659683196249374,0.019459980645134798,0.9532502316957294,0.95059054849948,-0.0009550973849106608,0.007036564353412638
iris,anti_leakage,1,0.0,0.0,1.0,1.0,2.220446049250313e-16,0.0,1.0,0.9999999999999997,0.0,0.0
iris,anti_leakage,5,0.0,0.0,1.0,1.0,2.220446049250313e-16,0.0,1.0,0.9999999999999997,0.0,0.0
iris,anti_leakage,10,0.0,0.0,1.0,1.0,2.220446049250313e-16,0.0,1.0,0.9999999999999997,0.0,0.0
iris,anti_leakage,20,0.0,0.0,1.0,1.0,2.220446049250313e-16,0.0,1.0,0.9999999999999997,0.0,0.0
iris,anti_leakage,40,0.0,0.0,1.0,1.0,2.220446049250313e-16,0.0,1.0,0.9999999999999997,0.0,0.0
iris,leaky,1,0.0,0.0,1.0,1.0,2.220446049250313e-16,0.0,1.0,0.9999999999999997,0.0,0.0
iris,leaky,5,0.0,0.0,1.0,1.0,2.220446049250313e-16,0.0,1.0,0.9999999999999997,0.0,0.0
iris,leaky,10,0.0,0.0,1.0,1.0,2.220446049250313e-16,0.0,1.0,0.9999999999999997,0.0,0.0
iris,leaky,20,0.0,0.0,1.0,1.0,2.220446049250313e-16,0.0,1.0,0.9999999999999997,0.0,0.0
iris,leaky,40,0.0,0.0,1.0,1.0,2.220446049250313e-16,0.0,1.0,0.9999999999999997,0.0,0.0
wine,anti_leakage,1,-0.0012493827160493898,0.00647905820396852,0.9972839506172839,0.9985333333333334,-0.0024138686658292685,0.012981285233094135,0.9947661535994871,0.9971800222653164,-0.0031308641975308737,0.0004099999999999989
wine,anti_leakage,5,-0.0008888888888888968,0.00559436070911306,0.9977777777777778,0.9986666666666667,-0.0016113995300267958,0.010827235431517174,0.9958305274971943,0.9974419270272211,-0.002444567901234588,0.0005876543209876518
wine,anti_leakage,10,-0.0008888888888888968,0.00559436070911306,0.9977777777777778,0.9986666666666667,-0.0016113995300267958,0.010827235431517174,0.9958305274971943,0.9974419270272211,-0.0025435802469135904,0.000582839506172836
wine,anti_leakage,20,-0.0008888888888888968,0.00559436070911306,0.9977777777777778,0.9986666666666667,-0.0016113995300267958,0.010827235431517174,0.9958305274971943,0.9974419270272211,-0.0024888888888889003,0.0005333333333333302
wine,anti_leakage,40,-0.0008888888888888968,0.00559436070911306,0.9977777777777778,0.9986666666666667,-0.0016113995300267958,0.010827235431517174,0.9958305274971943,0.9974419270272211,-0.002414938271604953,0.0005828395061728382
wine,leaky,1,-0.0009283950617283976,0.005507970109586052,0.9982716049382716,0.9992,-0.0019585781321073427,0.011604126934095425,0.9965132275132277,0.998471805645335,-0.002612469135802472,0.00039506172839506084
