seed,protocol,trials,optimism_gap
1,leaky,1,-0.04328384311045419
1,leaky,5,-0.04251586677820807
1,leaky,10,-0.042403447820840934
1,leaky,20,-0.04256306803711529
1,leaky,40,-0.04230662834076182
1,anti_leakage,1,-0.04328384311045419
1,anti_leakage,5,-0.04261228343124335
1,anti_leakage,10,-0.04259520692146013
1,anti_leakage,20,-0.042722016874982116
1,anti_leakage,40,-0.042995264529755994
2,leaky,1,-0.011286789924383256
2,leaky,5,-0.011494772769159223
2,leaky,10,-0.011622768672208683
2,leaky,20,-0.011510940988036844
2,leaky,40,-0.011734922040489093
2,anti_leakage,1,-0.011286789924383256
2,anti_leakage,5,-0.011494772769159223
2,anti_leakage,10,-0.011622768672208683
2,anti_leakage,20,-0.011510940988036844
2,anti_leakage,40,-0.011734922040489093
3,leaky,1,0.008381120122766594
3,leaky,5,0.00965188191458266
3,leaky,10,0.008979871162410613
3,leaky,20,0.009733106040255679
3,leaky,40,0.009716581707543415
3,anti_leakage,1,0.008381120122766594
3,anti_leakage,5,0.00965188191458266
3,anti_leakage,10,0.008979871162410613
3,anti_leakage,20,0.009733106040255679
3,anti_leakage,40,0.009716581707543415
4,leaky,1,0.026724022785951762
4,leaky,5,0.02669192833935352
4,leaky,10,0.026739936445064116
4,leaky,20,0.02682014173905445
4,leaky,40,0.02691638398217555
4,anti_leakage,1,0.026724022785951762
4,anti_leakage,5,0.026531538299709334
4,anti_leakage,10,0.02661172304536319
4,anti_leakage,20,0.026563571101298145
4,anti_leakage,40,0.026820100642381606
5,leaky,1,0.02217581269002833
5,leaky,5,0.021870568575560467
5,leaky,10,0.022898122534155907
5,leaky,20,0.02220749102506725
5,leaky,40,0.022946247371685713
5,anti_leakage,1,0.02217581269002833
5,anti_leakage,5,0.02185455935424896
5,anti_leakage,10,0.021838647306533066
5,anti_leakage,20,0.022223646006771958
5,anti_leakage,40,0.022191821911339837
6,leaky,1,-0.01055234071018818
6,leaky,5,-0.010855603999131325
6,leaky,10,-0.010855789392915094
6,leaky,20,-0.010871696952027388
6,leaky,40,-0.010919883113823414
6,anti_leakage,1,-0.01055234071018818
6,anti_leakage,5,-0.010648064155537318
6,anti_leakage,10,-0.010568155572408866
6,anti_leakage,20,-0.010695879529766028
6,anti_leakage,40,-0.010648064155537318
7,leaky,1,-0.01733637568464297
7,leaky,5,-0.01723965050409859
7,leaky,10,-0.016389905800823557
7,leaky,20,-0.016373812847927605
7,leaky,40,-0.016485961128692606
7,anti_leakage,1,-0.01733637568464297
7,anti_leakage,5,-0.01732011526857813
7,anti_leakage,10,-0.017271836409890606
7,anti_leakage,20,-0.017320199000162573
7,anti_leakage,40,-0.017287929362786336
8,leaky,1,0.01028156737630559
